"","LineItem","CashierName","Quantity","CustomerSatisfaction"
"1","Aubergine and Chickpea Vindaloo","Katherine Roth",1.36231884057971,0.990235802609155
"2","Aubergine and Chickpea Vindaloo","Rachael Price",1.30555555555556,0.990235802609155
"3","Aubergine and Chickpea Vindaloo","Trinidad Johnson",1,0.990235802609155
"4","Aubergine and Chickpea Vindaloo","Vincent Ball",1.50602409638554,0.990235802609155
"5","Beef and Apple Burgers","Katherine Roth",1.01136363636364,0.325210194219805
"6","Beef and Apple Burgers","Rachael Price",1,0.325210194219805
"7","Beef and Apple Burgers","Trinidad Johnson",1,0.325210194219805
"8","Beef and Apple Burgers","Vincent Ball",1.01543209876543,0.325210194219805
"9","Beef and Apple Burgers - Illini Bhangra","Katherine Roth",1.33572320651944,0.527040931234548
"10","Beef and Apple Burgers - Illini Bhangra","Rachael Price",1.25954210124625,0.527040931234548
"11","Beef and Apple Burgers - Illini Bhangra","Trinidad Johnson",1.22914122914123,0.527040931234548
"12","Beef and Apple Burgers - Illini Bhangra","Vincent Ball",15,0.527040931234548
"13","Beef and Broccoli","Katherine Roth",1.01863354037267,0.0272822456527746
"14","Beef and Broccoli","Rachael Price",1.02717391304348,0.0272822456527746
"15","Beef and Broccoli","Trinidad Johnson",1,0.0272822456527746
"16","Beef and Broccoli","Vincent Ball",1.11650485436893,0.0272822456527746
"17","Beef and Broccoli Side","Katherine Roth",1.5,0.906459799813206
"18","Beef and Broccoli Side","Rachael Price",1,0.906459799813206
"19","Beef and Broccoli Side","Trinidad Johnson",1.22914122914123,0.906459799813206
"20","Beef and Broccoli Side","Vincent Ball",1.33333333333333,0.906459799813206
"21","Beef and Broccoli Side Wolfram","Katherine Roth",1.33572320651944,0.153400140592587
"22","Beef and Broccoli Side Wolfram","Rachael Price",1.25954210124625,0.153400140592587
"23","Beef and Broccoli Side Wolfram","Trinidad Johnson",1.22914122914123,0.153400140592587
"24","Beef and Broccoli Side Wolfram","Vincent Ball",1.5,0.153400140592587
"25","Beef and Broccoli Stir Fry","Katherine Roth",1.04878048780488,0.461945851845101
"26","Beef and Broccoli Stir Fry","Rachael Price",1.05263157894737,0.461945851845101
"27","Beef and Broccoli Stir Fry","Trinidad Johnson",1,0.461945851845101
"28","Beef and Broccoli Stir Fry","Vincent Ball",1.08275862068966,0.461945851845101
"29","Beef and Broccoli Stir Fry Wolfram","Katherine Roth",1.33572320651944,0.0999045792962888
"30","Beef and Broccoli Stir Fry Wolfram","Rachael Price",1.25954210124625,0.0999045792962888
"31","Beef and Broccoli Stir Fry Wolfram","Trinidad Johnson",1.22914122914123,0.0999045792962888
"32","Beef and Broccoli Stir Fry Wolfram","Vincent Ball",1,0.0999045792962888
"33","Beef and Squash Kabob","Katherine Roth",1.07368421052632,0.710979319627262
"34","Beef and Squash Kabob","Rachael Price",1.10632183908046,0.710979319627262
"35","Beef and Squash Kabob","Trinidad Johnson",1,0.710979319627262
"36","Beef and Squash Kabob","Vincent Ball",1.08539944903581,0.710979319627262
"37","Beef and Squash Lasagne Food Truck","Katherine Roth",1.33572320651944,0.647786457472296
"38","Beef and Squash Lasagne Food Truck","Rachael Price",1.25954210124625,0.647786457472296
"39","Beef and Squash Lasagne Food Truck","Trinidad Johnson",1.22914122914123,0.647786457472296
"40","Beef and Squash Lasagne Food Truck","Vincent Ball",1,0.647786457472296
"41","Beef and Squash Lasagne Wolfram","Katherine Roth",1.33572320651944,0.371196724622101
"42","Beef and Squash Lasagne Wolfram","Rachael Price",1.25954210124625,0.371196724622101
